location,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh
lat,2.33324,2.33324,2.33324,2.33324
lon,102.18750,102.18750,102.18750,102.18750
asl,22.146,22.146,22.146,22.146
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kampung Ayer Keroh Temperature [2 m elevation corrected],Kampung Ayer Keroh Precipitation Total,Kampung Ayer Keroh Wind Speed [10 m],Kampung Ayer Keroh Wind Direction [10 m]
20200907T0000,25.520947,0.0,1.0182338,135.0
20200907T0100,25.560946,0.0,1.1384199,161.56505
20200907T0200,25.460945,0.0,0.8049845,116.56505
20200907T0300,25.330946,0.0,1.2979984,123.69006
20200907T0400,25.240946,0.0,1.1384199,108.434944
20200907T0500,25.180946,0.0,1.2979984,123.69006
20200907T0600,25.220945,0.0,2.3051248,141.34018
20200907T0700,25.170946,0.0,3.0547013,135.0
20200907T0800,25.980946,0.0,3.0547013,135.0
20200907T0900,27.700947,0.0,5.692099,145.30484
20200907T1000,27.870947,0.0,9.085988,146.30994
20200907T1100,28.410946,0.0,8.587338,146.97614
20200907T1200,28.240946,0.0,6.9247384,152.10272
20200907T1300,28.120947,0.0,4.802999,167.00539
20200907T1400,28.110947,0.0,4.3349743,184.76364
20200907T1500,28.290947,0.0,4.896529,197.10272
20200907T1600,28.940947,0.0,6.12,180.0
20200907T1700,29.220945,0.0,6.638072,167.47119
20200907T1800,28.840946,0.0,6.6185193,157.61987
20200907T1900,27.540947,0.0,4.3498964,155.55605
20200907T2000,26.870947,0.0,5.6233797,140.19443
20200907T2100,26.560946,0.0,4.6938257,147.52881
20200907T2200,26.320946,0.0,3.7064266,150.94539
20200907T2300,26.240946,0.0,2.7416782,156.8014
20200908T0000,26.120947,0.0,2.6208394,164.0546
20200908T0100,25.950947,0.0,2.6208394,164.0546
20200908T0200,25.900946,0.0,2.52,180.0
20200908T0300,25.770947,0.0,2.6208394,195.9454
20200908T0400,25.640945,0.0,2.7416782,203.1986
20200908T0500,25.640945,0.0,2.6208394,195.9454
20200908T0600,25.570946,0.0,2.6208394,195.9454
20200908T0700,25.390945,0.0,2.9024127,187.12502
20200908T0800,26.660946,0.0,2.52,180.0
20200908T0900,28.290947,0.0,6.130579,176.63354
20200908T1000,28.280947,0.0,7.928178,177.39743
20200908T1100,28.890945,0.0,8.28,180.0
20200908T1200,29.200947,0.0,8.64,180.0
20200908T1300,30.780947,0.0,7.9526596,174.80557
20200908T1400,29.660946,0.0,7.2805495,171.46924
20200908T1500,28.640945,0.3,7.342588,168.69006
20200908T1600,27.780947,0.3,6.5693827,170.53767
20200908T1700,27.440947,0.0,5.8603754,169.38034
20200908T1800,27.280947,0.0,5.6920996,161.56505
20200908T1900,26.680946,0.0,4.802999,167.00539
20200908T2000,27.000946,0.0,2.4149535,153.43495
20200908T2100,26.630945,0.0,2.6208394,164.0546
20200908T2200,26.350946,0.0,2.52,180.0
20200908T2300,26.080946,0.0,2.52,180.0
20200909T0000,25.810946,0.0,2.16,180.0
20200909T0100,25.510946,0.0,2.2768397,161.56505
20200909T0200,25.270947,0.0,2.2768397,161.56505
20200909T0300,25.030947,0.0,1.4399999,180.0
20200909T0400,24.960945,0.0,0.71999997,180.0
20200909T0500,24.940947,0.0,0.8049845,206.56505
20200909T0600,24.800945,0.0,1.08,180.0
20200909T0700,24.720945,0.0,1.08,180.0
20200909T0800,26.050945,0.0,0.71999997,180.0
20200909T0900,26.980946,0.1,3.2599385,173.6598
20200909T1000,27.700947,0.5,3.7585104,163.30075
20200909T1100,27.770947,0.5,3.7064266,150.94539
20200909T1200,27.660946,0.8,4.0249224,169.69516
20200909T1300,27.580946,1.1,4.68,180.0
20200909T1400,27.590946,1.0,5.3999996,180.0
20200909T1500,27.460945,1.1,5.7599998,180.0
20200909T1600,27.270947,1.1,5.3999996,180.0
20200909T1700,27.000946,1.4,4.68,180.0
20200909T1800,27.030947,0.5,3.96,180.0
20200909T1900,26.530947,0.0,2.8799999,180.0
20200909T2000,27.050945,0.0,5.0142193,201.0375
20200909T2100,26.640945,0.0,5.154415,204.77515
20200909T2200,26.280947,0.0,4.3498964,204.44395
20200909T2300,26.070946,0.0,3.7064266,209.05461
20200910T0000,26.000946,0.0,2.9024127,209.74489
20200910T0100,25.750946,0.0,2.4149535,206.56505
20200910T0200,25.540947,0.0,2.7416782,203.1986
20200910T0300,25.290947,0.0,2.5959969,213.69006
20200910T0400,25.150946,0.0,2.5959969,213.69006
20200910T0500,25.000946,0.0,2.0991426,210.96376
20200910T0600,24.920946,0.0,2.2768397,198.43495
20200910T0700,24.830946,0.0,2.16,180.0
20200910T0800,26.130945,0.0,1.8,180.0
20200910T0900,26.850946,0.4,4.6938252,175.60129
20200910T1000,26.970945,1.4,6.489992,176.82018
20200910T1100,26.860947,1.3,6.489992,176.82018
20200910T1200,26.870947,1.5,6.924738,171.02737
20200910T1300,26.630945,1.9,7.342588,168.69006
20200910T1400,26.400946,1.7,7.69592,169.2157
20200910T1500,26.150946,1.6,7.771331,166.6075
20200910T1600,25.850946,1.6,7.42159,165.96376
20200910T1700,25.570946,1.0,5.8048253,172.87498
20200910T1800,25.250946,0.0,4.0249224,190.30484
20200910T1900,25.010946,0.0,4.1046314,232.12502
20200910T2000,26.030947,0.0,3.563818,225.0
20200910T2100,25.770947,0.0,3.0547013,225.0
20200910T2200,25.480946,0.0,2.5959969,236.30994
20200910T2300,25.230946,0.0,2.4149535,243.43495
20200911T0000,25.040947,0.0,2.1897945,260.5377
20200911T0100,24.760946,0.0,2.16,270.0
20200911T0200,24.470945,0.0,1.1384199,288.43497
20200911T0300,24.180946,0.0,0.5091169,315.0
20200911T0400,23.970945,0.0,0.5091169,44.999985
20200911T0500,23.790947,0.0,0.71999997,89.99999
20200911T0600,23.670946,0.0,1.2979984,123.69006
20200911T0700,23.540947,0.0,1.8,126.869896
20200911T0800,24.140945,0.0,2.0364676,135.0
20200911T0900,26.030947,0.0,3.096837,144.46231
20200911T1000,27.470945,0.5,4.8965297,143.97263
20200911T1100,26.520947,0.8,6.696387,143.74615
20200911T1200,26.350946,0.8,5.3517847,137.72632
20200911T1300,26.310946,0.5,4.198285,120.96376
20200911T1400,26.670946,0.0,2.9024127,97.125015
20200911T1500,26.640945,0.0,1.484318,104.03624
20200911T1600,26.500946,0.0,1.4399999,180.0
20200911T1700,26.310946,0.0,2.0364676,225.0
20200911T1800,25.670946,0.0,3.396233,237.99463
20200911T1900,25.350946,0.0,4.198285,239.03624
20200911T2000,26.400946,0.0,3.219938,206.56505
20200911T2100,26.290947,0.0,2.9024127,209.74489
20200911T2200,26.170946,0.0,3.0758414,200.55605
20200911T2300,25.990946,0.0,2.4149535,206.56505
20200912T0000,25.760946,0.0,1.835647,191.30994
20200912T0100,25.700947,0.0,1.484318,165.96376
20200912T0200,25.570946,0.0,2.0991426,120.96376
20200912T0300,25.190947,0.0,2.5455842,98.1301
20200912T0400,24.810946,0.0,2.9024127,97.125015
20200912T0500,24.390945,0.0,3.2599385,96.34019
20200912T0600,24.190947,0.0,3.2599385,96.34019
20200912T0700,24.090946,0.0,2.968636,104.03624
20200912T0800,24.980946,0.0,2.968636,104.03624
20200912T0900,25.970945,0.0,3.6,143.1301
20200912T1000,26.340946,0.4,6.28713,156.37062
20200912T1100,26.680946,0.0,6.830519,161.56505
20200912T1200,26.640945,0.0,6.6185193,157.61987
20200912T1300,27.060946,0.0,6.6185193,157.61987
20200912T1400,27.210945,0.0,6.9527545,158.7495
20200912T1500,27.260946,0.0,7.968939,161.56505
20200912T1600,27.260946,0.0,8.766573,160.82098
20200912T1700,27.150946,0.0,8.311245,162.34987
20200912T1800,26.820946,0.0,6.725354,164.47589
20200912T1900,25.970945,0.0,3.9763298,174.80557
20200912T2000,26.200947,0.0,3.4152596,251.56506
20200912T2100,26.130945,0.0,2.968636,255.96376
20200912T2200,25.960945,0.0,2.5959969,236.30994
20200912T2300,25.620947,0.0,2.5455842,225.0
20200913T0000,25.290947,0.0,1.8,216.8699
20200913T0100,25.210945,0.0,1.8,180.0
20200913T0200,25.030947,0.0,1.8,180.0
20200913T0300,24.730946,0.0,1.8,180.0
20200913T0400,24.560946,0.0,1.9386592,158.1986
20200913T0500,24.430946,0.0,2.4149535,116.56505
20200913T0600,24.370947,0.0,2.8799999,89.99999
20200913T0700,24.400946,0.0,4.0249224,63.43495
20200913T0800,25.340946,0.0,4.072935,44.999985
20200913T0900,26.460945,0.0,3.6,53.130096
20200913T1000,26.490946,0.7,3.7064266,60.945396
20200913T1100,26.490946,0.7,3.9763298,84.805565
20200913T1200,26.550945,0.5,3.319036,102.52881
20200913T1300,26.610947,0.1,3.5455887,113.96249
20200913T1400,27.160946,0.0,4.2136917,109.9831
20200913T1500,27.060946,0.0,4.3498964,114.44395
20200913T1600,26.740946,0.2,4.802999,102.99461
20200913T1700,26.460945,0.3,3.9763298,84.805565
20200913T1800,26.380945,0.0,3.4152596,71.56504
20200913T1900,25.590946,0.0,3.8939953,56.30993
20200913T2000,27.190947,0.0,5.1165614,219.28941
20200913T2100,26.940947,0.0,4.39436,214.99202
20200913T2200,26.850946,0.0,3.8773184,201.8014
20200913T2300,26.750946,0.0,3.2599385,186.3402
20200914T0000,26.630945,0.0,3.2599385,173.6598
20200914T0100,26.510946,0.0,2.968636,165.96376
20200914T0200,26.350946,0.0,3.0758414,159.44395
20200914T0300,26.140945,0.0,2.2768397,161.56505
20200914T0400,25.980946,0.0,1.9386592,158.1986
20200914T0500,25.870947,0.0,2.0364676,135.0
20200914T0600,25.720945,0.0,2.0991426,120.96376
20200914T0700,25.430946,0.0,2.6208394,105.9454
20200914T0800,26.160946,0.0,2.1897945,99.46232
20200914T0900,27.230946,0.3,3.319036,102.52881
20200914T1000,26.890945,0.9,4.6800003,112.61986
20200914T1100,26.960945,0.4,5.0142193,111.03751
20200914T1200,26.920946,0.3,5.1165614,129.2894
20200914T1300,26.870947,0.7,4.6938257,147.52881
20200914T1400,27.220945,0.3,4.5536795,161.56505
20200914T1500,26.990946,0.0,4.73506,171.25385
20200914T1600,26.970945,0.0,4.802999,167.00539
20200914T1700,27.060946,0.0,3.7585104,163.30075
20200914T1800,27.230946,0.0,2.0991426,149.03624
20200914T1900,26.610947,0.0,0.0,180.0
20200914T2000,25.890945,0.0,1.08,270.0
20200914T2100,25.800945,0.0,1.8,270.0
20200914T2200,25.600946,0.0,1.4399999,270.0
20200914T2300,25.370947,0.0,1.4399999,270.0
20200915T0000,25.230946,0.0,1.1384199,288.43497
20200915T0100,25.010946,0.0,0.8049845,296.56506
20200915T0200,24.990946,0.0,0.35999998,180.0
20200915T0300,24.660946,0.0,1.2979984,213.69006
20200915T0400,24.640945,0.0,1.8,216.8699
20200915T0500,24.470945,0.0,1.5273507,225.0
20200915T0600,24.550945,0.0,0.35999998,270.0
20200915T0700,24.380945,0.0,1.0182338,44.999985
20200915T0800,24.840946,0.0,1.5273507,44.999985
20200915T0900,25.950947,0.0,1.08,89.99999
20200915T1000,26.830946,0.0,1.2979984,123.69006
20200915T1100,27.610947,0.0,1.5273507,135.0
20200915T1200,27.550945,0.0,3.4152596,198.43495
20200915T1300,27.320946,0.1,6.830519,198.43495
20200915T1400,27.750946,0.0,8.12197,192.80426
20200915T1500,27.160946,0.0,7.6367526,188.1301
20200915T1600,27.720945,0.0,6.4799995,180.0
20200915T1700,27.740946,0.0,5.0911684,171.8699
20200915T1800,27.610947,0.0,4.452954,165.96376
20200915T1900,26.690947,0.0,3.6179552,174.28941
